l_edge,r_edge,n,fr,fr_std,mark
149397,150261,11,13.089005235602093,0.34820588083166865,3
150350,150789,5,11.799410029498524,1.2020097693819827,3
150940,151364,5,12.345679012345679,0.5123528826084928,3
152189,152697,6,12.254901960784315,0.7584841954424048,3
153042,153423,4,10.676156583629892,0.42222320077429737,3
154661,155150,6,12.853470437017997,0.9222306049360539,3
155393,156191,9,11.461318051575931,0.46223577432516794,3
157177,158566,4,2.3273855702094646,0.1174387093497224,2
159925,161014,3,2.0222446916076846,0.10506711124263093,2
161548,162285,2,1.5698587127158556,0.0,2
163214,165011,4,1.7678255745433118,0.16524405130070627,2
162556,162968,3,6.410256410256411,0.16606886441187474,2
165358,165804,2,2.8901734104046244,0.0,2
165919,166416,5,10.075566750629722,1.237248751375046,2
166316,167153,3,2.7137042062415198,0.13392909742252015,2
167331,168649,3,1.6420361247947455,0.07005147773418748,2
168865,169698,4,4.092769440654843,0.24083973607711726,2
169857,171033,3,1.858736059479554,0.279256221191483,2
171413,174070,6,1.9554165037152915,0.2646760233912776,2
178169,178991,3,2.770083102493075,0.16834823420021167,1
179144,179738,2,2.0242914979757085,0.0,1
180104,180452,2,4.032258064516129,0.0,1
182859,183494,2,1.8691588785046729,0.0,1
188150,188697,2,2.237136465324385,0.0,1
188704,189501,3,2.8694404591104736,0.1259736409455163,1
190027,190410,3,7.06713780918728,0.07208858509778163,1
193118,193698,2,2.0833333333333335,0.0,1
197660,198239,2,2.0876826722338206,0.0,1
198430,199966,4,2.0891364902506964,0.019218084143933525,1
202088,202628,2,2.272727272727273,0.0,1
206462,207097,2,1.8691588785046729,0.0,1
211318,211696,2,3.597122302158273,0.0,1
211672,212820,3,1.9083969465648853,0.029437765021905652,1
216097,216499,2,3.3112582781456954,0.0,1
216536,216899,2,3.8022813688212924,0.0,1
220548,221008,2,2.7777777777777777,0.0,1
221729,222274,2,2.247191011235955,0.0,1
222321,222825,3,4.9504950495049505,1.0329028931193678,1
224946,225302,2,3.90625,0.0,1
